Regiao;QtdMasculino;QtdFeminino;QtdTotal;PercentualFeminino;PercentualMasculino
Sudeste;392557;159487;552044;288.902.696.161.900.000;711.097.303.838.099.000
Norte;99724;40510;140234;288.874.310.081.720.000;711.125.689.918.279.000
Centro-Oeste;81582;32955;114537;287.723.617.695.591.000;712.276.382.304.408.000
Nordeste;274059;109313;383372;285.135.586.323.466.000;714.864.413.676.533.000
Sul;161276;63397;224673;282.174.538.106.492.000;717.825.461.893.507.000
BRASIL;9;3;12;250.000.000.000.000.000;750.000.000.000.000.000
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
